curso,rank,idd,N,std,enem.mean,ies,municipio,stderr,area,ano
8391,1,9.91381016336339,2,5.6518185712854105,467.45000000000005,1034,2609600,3.996439237791978,3002,2014
10804,2,9.15037191913072,2,8.50540894220442,508.3125,527,5208707,6.014232339797445,3002,2014
55324,3,8.872937405556371,2,6.0096791019682625,582.3875,295,4316808,4.2494848457568395,3002,2014
54672,4,7.000375506299232,2,0.4139240762299889,560.525,1538,5300108,0.29268852119860256,3002,2014
82092,5,5.774865903832423,3,8.839660030393958,563.8666666666667,221,3550308,5.103580098092728,3002,2014
111004,6,4.831439021730072,4,7.291966796854526,534.3812499999999,163,3304557,3.645983398427263,3002,2014
11614,7,4.169084307581637,8,11.637837263022524,515.090625,550,2506301,4.114596823514359,3002,2014
46232,8,3.4713996949467583,7,12.415435335069901,539.1214285714285,456,3550308,4.692593473599834,3002,2014
53465,9,3.101019635837641,3,16.161056957878724,495.5,641,4304606,9.330590585020156,3002,2014
16684,10,3.081178096303013,3,1.9281219636087221,568.4666666666667,756,2211001,1.1132017347199257,3002,2014
101856,11,2.6077082483132705,15,7.7974756470696605,592.2,1810,3550308,2.013299554903913,3002,2014
95051,12,2.603555239849328,2,0.2303479256344638,581.275,3,2802908,0.1628805802483839,3002,2014
5000399,13,2.4062193785833057,16,8.881168723625162,537.0624999999999,15121,4307005,2.2202921809062905,3002,2014
74664,14,2.395301755134886,13,11.814777465905102,494.5115384615385,375,3550308,3.2768296893474878,3002,2014
7026,15,2.3595876404014327,12,11.526210482304407,471.43333333333334,299,4112108,3.327330362347368,3002,2014
1077817,16,2.1726605168116158,12,9.601469381389824,558.4125,572,3301009,2.7717054659806823,3002,2014
1122940,17,2.1648949628819363,16,9.549059491120971,550.553125,3,2806701,2.387264872780243,3002,2014
117212,18,2.0793454597608694,2,14.998244847784315,536.0,84,3302403,10.605360637764488,3002,2014
21812,19,2.0096285218769943,2,1.2491596393241624,452.3625,47,5210208,0.8832892517506571,3002,2014
20943,20,1.8981698900946966,5,8.96969254307526,514.715,12,4315602,4.011368452717848,3002,2014
111204,21,1.8555715920282996,2,9.908582389971084,470.01250000000005,1689,3550308,7.006425799894161,3002,2014
112806,22,1.8243002286585823,7,5.897805424803724,548.275,3172,1302603,2.2291609192969006,3002,2014
1716,23,1.7854172612039854,6,10.116190427714422,554.0624999999999,20,4314100,4.129917448121308,3002,2014
8766,24,1.7365119103002722,17,8.567290327505768,521.9558823529412,18492,4104303,2.0778731144493414,3002,2014
1167474,25,1.6127635001902223,9,10.690446287568758,524.075,376,3550308,3.5634820958562528,3002,2014
5000398,26,1.5749785491679469,15,8.512173290713752,551.035,15121,4204202,2.1978336929977296,3002,2014
13274,27,1.5046874986046423,21,9.431685733829601,594.275,578,2927408,2.058162562205203,3002,2014
12560,28,1.4993268948333431,11,13.547929733351891,661.6636363636363,571,4106902,4.084854510147991,3002,2014
15864,29,1.3830055647074886,8,7.718633178160034,530.8,694,5003207,2.7289489308842163,3002,2014
18503,30,1.3729599612368515,11,10.510572444311345,529.1999999999999,609,4114609,3.1690568299663053,3002,2014
60672,31,1.3166152923983865,13,9.609091324906373,477.5846153846154,3172,1304203,2.665082421735856,3002,2014
103372,32,1.2713267990422352,16,9.480734071412277,514.0500000000001,5242,2700300,2.3701835178530692,3002,2014
72598,33,1.2487457208587016,16,8.453564035392976,496.5171874999999,71,2409407,2.113391008848244,3002,2014
10871,34,1.2462155145506097,11,16.21780510799721,594.3386363636364,528,3304557,4.889852224212362,3002,2014
8302,35,1.2040166706536464,3,2.551993484365491,559.8249999999999,402,5300108,1.4733941251685871,3002,2014
42510,36,1.1612355963657013,16,9.412004349604414,598.3499999999999,9,4113700,2.3530010874011036,3002,2014
5883,37,1.1411751100020262,8,6.767425376830582,516.234375,222,3557105,2.3926461875654157,3002,2014
15854,38,1.083759046667735,12,10.80663274567164,522.1520833333333,4504,5003702,3.1196061623734734,3002,2014
12098,39,1.0786621670806198,20,10.5605215542696,529.26,15059,1506807,2.361404407319856,3002,2014
403,40,1.069483138246603,15,9.128359552824492,547.6866666666667,4,1302603,2.3569323017521757,3002,2014
19043,41,1.0646139549747329,16,9.936089287984815,521.471875,24,2913606,2.484022321996204,3002,2014
49476,42,1.007544057129677,6,6.166143271097417,645.9083333333334,571,4106902,2.5173174491807733,3002,2014
16186,43,1.0005286481686226,19,8.717286612438617,511.4447368421052,15015,4106407,1.9998827055526285,3002,2014
106064,44,0.9975082084659687,11,7.467156274667387,552.1227272727273,578,2927408,2.2514323285472484,3002,2014
15693,45,0.9912579439145816,12,10.496475256305413,522.2499999999999,1840,3201506,3.0300714073850883,3002,2014
15858,46,0.9744900648292428,9,10.206791601493453,548.3055555555555,694,5008305,3.4022638671644843,3002,2014
312323,47,0.9734882605424772,31,10.373556323111309,559.3120967741935,570,2408102,1.8631457165041674,3002,2014
1113373,48,0.9667918527679329,16,8.786458235383526,518.8171875,14509,2927903,2.1966145588458814,3002,2014
82077,49,0.9248423488955105,9,11.429175717403867,569.2555555555556,56,3534708,3.809725239134622,3002,2014
106416,50,0.9073430000680993,4,4.772514808885347,479.0875,3,2806701,2.3862574044426736,3002,2014
46588,51,0.8815818314174477,16,9.5572388800542,529.1796875,582,4316907,2.38930972001355,3002,2014
9293,52,0.8597065083849165,4,6.522605227385204,512.825,449,4304606,3.261302613692602,3002,2014
3645,53,0.854319759378613,14,8.188301726032677,501.3625,18492,4118402,2.188415688453141,3002,2014
1178742,54,0.8386202491680486,21,11.044753250658609,542.0559523809525,596,3121605,2.4101627525358404,3002,2014
11327,55,0.7942622479326477,83,20.531817305358572,583.417469879518,547,3304904,2.253659732766202,3002,2014
1167908,56,0.787118012467935,13,13.604778661774391,504.95961538461535,376,3550308,3.773286696643533,3002,2014
68393,57,0.7870402690795493,21,8.135635143367054,497.2619047619047,2443,3135100,1.775341136715354,3002,2014
1178256,58,0.7337734349871482,5,6.399376637339169,495.925,40,2930501,2.8618882349428802,3002,2014
3144,59,0.6860564177399292,31,20.63966886337622,609.4024193548387,56,3543907,3.706993959939308,3002,2014
1123532,60,0.658493685064203,12,13.336027233181538,513.5833333333333,1388,3550308,3.8497794564987706,3002,2014
74184,61,0.6571724261529179,18,10.65860012087719,521.4194444444445,2426,1501402,2.5122561411426725,3002,2014
1153463,62,0.6498870377760311,9,9.027027652226998,591.4833333333332,1809,2611606,3.0090092174089995,3002,2014
15055,63,0.6142877686715961,24,9.404105299675226,537.2312499999999,609,4108403,1.9196049559672828,3002,2014
3569,64,0.6139007641555836,21,11.02677389917525,501.94047619047626,71,2408003,2.4062393363873307,3002,2014
115080,65,0.6044026883266918,25,9.493119682124055,613.2219999999999,7,3552205,1.898623936424811,3002,2014
15710,66,0.596285089878721,10,10.370235104936993,445.6675,685,2601706,3.279356280303614,3002,2014
8422,67,0.5657841266454398,54,10.23726220947863,530.663425925926,409,2609501,1.3931149320166532,3002,2014
1108035,68,0.5336698903006275,15,16.641434049407447,601.1283333333333,595,3101607,4.2967997953576065,3002,2014
13976,69,0.5164519369653733,16,13.170196647503666,612.4953125,583,2304400,3.2925491618759164,3002,2014
12351,70,0.4820478796687375,32,8.513268372976533,522.1624999999999,570,2402006,1.5049474491481682,3002,2014
122232,71,0.465464255202986,31,9.277267262716034,467.74435483870957,756,2210607,1.6662463887032246,3002,2014
7509,72,0.4398359076996058,23,10.332778836886577,554.354347826087,338,3106200,2.1545333247547473,3002,2014
1151320,73,0.39689698515111166,22,7.92410528731536,521.1931818181819,756,2202208,1.6894249237329149,3002,2014
495,74,0.372341182990018,38,7.702818121528881,569.8440789473683,5,2211001,1.2495621023862058,3002,2014
1107032,75,0.3546190922305114,24,10.464590445180761,598.9041666666666,574,3303500,2.1360755798247606,3002,2014
60934,76,0.34772609859697323,16,9.514389633126257,587.346875,1082,2408102,2.378597408281564,3002,2014
117132,77,0.32519093308816477,24,8.467401280218304,606.1302083333334,574,3305554,1.728401048660324,3002,2014
1149624,78,0.31642121767239423,7,8.640797500679225,419.05000000000007,753,2612208,3.265914473723671,3002,2014
13407,79,0.30729904236390715,35,7.449010839677241,496.8135714285716,2564,2503704,1.259112640934412,3002,2014
120777,80,0.30549377934469363,47,10.265616118214293,540.9058510638297,2564,2504009,1.4973940078039771,3002,2014
98562,81,0.3011522052365327,11,7.289032728352367,457.8113636363636,5077,1400100,2.1977260585968468,3002,2014
4405,82,0.29821605296113163,7,14.453196170573563,551.3285714285714,137,3506003,5.462794673909817,3002,2014
83970,83,0.29678190551961403,34,10.266962500196918,538.8169117647059,40,2917508,1.7607695424949665,3002,2014
104384,84,0.29345529705439727,9,12.032169070103091,492.9194444444444,1933,3506508,4.010723023367697,3002,2014
99022,85,0.2900092359905854,17,10.516091764781125,494.87058823529406,18506,2903201,2.550526889110624,3002,2014
2622,86,0.26199633131880756,12,16.655107456027462,523.5645833333333,47,5201108,4.8079153865598,3002,2014
52225,87,0.21782611114645914,17,11.306366802973455,567.864705882353,19,3509502,2.742196739449213,3002,2014
21785,88,0.18752796887437656,13,5.998545114150964,478.12884615384615,47,5208905,1.6636970759427148,3002,2014
21085,89,0.18199212639252754,11,11.341676479294772,562.5681818181819,2183,3547809,3.4196441250381633,3002,2014
11598,90,0.17563584202119759,66,10.07907297383427,525.1348484848485,550,2504009,1.2406481200387574,3002,2014
7845,91,0.1474779519516665,14,9.218286590569807,522.9035714285712,367,3151206,2.4636907225003353,3002,2014
105084,92,0.13377920042308894,7,7.885712373078198,531.2607142857142,1036,3127107,2.980519121392844,3002,2014
1100808,93,0.10993506409895104,25,9.0686604984885,506.769,1388,3550308,1.8137320996977,3002,2014
328,94,0.09525183530484967,15,12.590518263323919,531.615,3,2806701,3.250857836931591,3002,2014
60637,95,0.08005575078487125,35,10.000745375258711,464.17357142857145,3172,1303403,1.690434500871287,3002,2014
8911,96,0.07047876358856442,2,7.322725341190577,589.425,426,4316907,5.177948745522432,3002,2014
105376,97,0.06437719286505761,4,9.419612503437964,483.4625,1125,4106902,4.709806251718982,3002,2014
11529,98,0.04563364816282034,16,9.035012485782863,496.13437500000003,549,1200401,2.2587531214457157,3002,2014
11887,99,0.04239639685854511,21,9.170926149582241,503.322619047619,568,2105302,2.00126015587193,3002,2014
52110,100,0.036917429924683276,4,5.684337923364779,469.86249999999995,1500,4125704,2.8421689616823893,3002,2014
119228,101,0.03131238947705365,12,13.891193360052506,477.0812500000001,206,3550308,4.010042112895729,3002,2014
103022,102,0.022713081577080806,20,13.19072037112922,537.1075,17,3134202,2.949534742203619,3002,2014
74460,103,0.019739388138172984,25,10.479833804833444,465.0950000000001,3427,2803500,2.0959667609666885,3002,2014
771,104,0.006837506883216398,14,11.023095373961183,565.5660714285714,9,4113700,2.946046159363966,3002,2014
91797,105,-0.012250913982379801,43,10.598757887338877,520.5703488372093,40,2930501,1.6162954251205963,3002,2014
17139,106,-0.014461999512271007,35,12.63459373033674,504.4557142857143,3849,1702109,2.135636129592067,3002,2014
15738,107,-0.037988488937182575,46,10.330973184954885,532.5277173913041,688,2933307,1.5232188953735362,3002,2014
14102,108,-0.05068641613542941,36,10.928351283071335,546.6631944444446,584,5208707,1.8213918805118892,3002,2014
16594,109,-0.06429192311007038,52,9.369209501059988,489.841826923077,746,2304202,1.2992755871783142,3002,2014
2541,110,-0.06433659808649177,19,8.811907879661655,616.4157894736843,43,4205407,2.0215903130123642,3002,2014
96450,111,-0.06681421707184772,19,12.768550113599076,561.1565789473684,3690,3106200,2.9293062947743764,3002,2014
7829,112,-0.07010278045303395,26,12.290154281544476,526.8740384615385,367,3143302,2.4102975579485078,3002,2014
1129627,113,-0.07362477764848202,37,10.20926159545678,507.4189189189189,1809,2611606,1.678392267428571,3002,2014
83962,114,-0.0926050227474913,30,10.884824427229741,507.64833333333337,40,2905206,1.987287957758993,3002,2014
11888,115,-0.09268240475342483,26,11.429339626890812,459.0221153846154,568,2103000,2.2414779148075206,3002,2014
122252,116,-0.10467904549623445,24,6.2057126934762215,492.52916666666664,756,2201200,1.2667357991107813,3002,2014
1160180,117,-0.10596065262035625,32,8.879769753060335,489.934375,3172,1302504,1.5697363519410394,3002,2014
99950,118,-0.1145463770569064,132,9.386077856130388,480.641856060606,1472,4207502,0.8169532159064299,3002,2014
1160261,119,-0.1202689600750981,74,8.735113957626456,488.306081081081,40,2927408,1.0154363717322539,3002,2014
66899,120,-0.15514781435486166,15,10.936551938890132,464.67,5242,2706307,2.823805568283594,3002,2014
15844,121,-0.16986719672155198,15,10.49065907234477,508.2416666666666,694,5001102,2.708676525195403,3002,2014
1445,122,-0.1742925219942749,45,10.695476514460458,576.8866666666665,17,3170206,1.594387502539073,3002,2014
64274,123,-0.17574998354364535,16,9.001578612970228,486.125,47,5213087,2.250394653242557,3002,2014
107508,124,-0.18551780318162236,54,9.336060034013016,527.1643518518517,577,2704302,1.2704768495179362,3002,2014
47055,125,-0.18652677812138946,10,5.046236793061649,465.2875,1422,1302603,1.5957601878618577,3002,2014
1893,126,-0.19522151397334558,31,11.152516665946258,576.1951612903224,21,4314902,2.0030511241459186,3002,2014
48283,127,-0.22827378837923437,42,11.734356236559565,578.795238095238,1813,1501402,1.8106504769497063,3002,2014
108846,128,-0.23572824495303088,62,10.498180174571816,516.0318548387099,135,3505906,1.3332702154415028,3002,2014
83972,129,-0.2404714051065966,36,11.770625718020714,522.2777777777777,40,2928703,1.9617709530034524,3002,2014
71885,130,-0.25168354885914984,11,9.697328672868903,485.2113636363636,398,2800308,2.923854606969203,3002,2014
8418,131,-0.26392854214319866,44,10.956334394191215,487.07159090909096,409,2611101,1.6517295574180952,3002,2014
67191,132,-0.26537956599946466,26,7.401855563265833,486.2028846153846,945,3135209,1.4516233059187615,3002,2014
24,133,-0.30434172059571,22,8.990583857187657,544.7443181818181,1,5107602,1.9167989188075956,3002,2014
21815,134,-0.3244322408286463,20,13.509756615514384,527.4125000000001,47,5208004,3.020873415176765,3002,2014
87561,135,-0.33724869275378944,47,10.982727018797735,515.454255319149,95,2312908,1.6019953832206286,3002,2014
8430,136,-0.34550009531234716,40,9.037439700950111,513.2425000000001,409,2606002,1.4289446835716666,3002,2014
90501,137,-0.34637234739831724,5,11.506745902169541,535.78,435,3143906,5.145973207413648,3002,2014
3400,138,-0.3774687459763797,16,15.153997921696233,553.709375,57,4115200,3.788499480424058,3002,2014
20402,139,-0.3802461589555771,13,10.317929986933429,491.2192307692308,416,3550308,2.8616788941950744,3002,2014
116690,140,-0.40409617377283596,24,10.051917921448052,533.7083333333334,1,5101803,2.0518391536571174,3002,2014
150104,141,-0.41767407111270316,12,11.21213270655891,558.8312499999998,1028,5002704,3.2366639181607972,3002,2014
106676,142,-0.42135226806051096,34,8.579117413600693,505.43088235294124,496,3516200,1.4713064982039787,3002,2014
105780,143,-0.44813212518559,28,10.199793704905481,523.8598214285713,1028,5005004,1.9275798262387167,3002,2014
14992,144,-0.4598711035477508,29,12.382651792167655,585.1793103448276,634,4314407,2.29940071207525,3002,2014
90383,145,-0.4828061395329293,9,7.009375327620659,521.6750000000001,532,4310207,2.3364584425402195,3002,2014
11162,146,-0.48629149763903307,14,8.881212081516047,539.9910714285713,1126,4109401,2.3736037705936064,3002,2014
52231,147,-0.515321467719999,75,11.980768967721158,580.7410000000001,580,2611606,1.383420037722505,3002,2014
21806,148,-0.5584891382469905,7,13.719230133851413,521.0678571428572,47,5218508,5.185381587633459,3002,2014
21820,149,-0.5644115850528846,9,9.496783819568922,478.3444444444445,47,5213806,3.165594606522974,3002,2014
1106296,150,-0.5899573887639801,18,7.700068971810195,484.7055555555556,2451,1501402,1.8149236618570386,3002,2014
10496,151,-0.60417172541244,5,15.148375487762712,529.905,519,2927408,6.774559467865791,3002,2014
52883,152,-0.6523358644064937,15,11.879783159976004,477.52666666666664,810,4102000,3.0673468223428255,3002,2014
114971,153,-0.6677746611119513,16,7.598803870652687,451.371875,550,2504009,1.8997009676631718,3002,2014
15628,154,-0.6686765352139915,5,7.064909279521504,436.04499999999996,674,2601607,3.159523480775829,3002,2014
11303,155,-0.6961434296937152,32,15.6282828805606,606.6960937499999,547,3304557,2.7627162007865076,3002,2014
3602,156,-0.6994918251022417,14,7.195234194229661,447.9392857142857,72,2610004,1.9230072266005613,3002,2014
122316,157,-0.7226228280952226,41,11.486172739682411,559.1499999999999,107,3162500,1.7938388064585589,3002,2014
1151167,158,-0.7441146913594164,50,11.722551059422672,509.5794999999999,577,2702405,1.6578190693846637,3002,2014
1103426,159,-0.758093311424503,15,7.470136453083769,559.6399999999999,1,5103403,1.9287809384460253,3002,2014
99876,160,-0.7756188083623873,17,9.187960334673523,486.6926470588235,143,3170107,2.228407702579078,3002,2014
11685,161,-0.8092392752362068,7,8.766797507236234,482.8285714285715,3966,3113404,3.31353799980115,3002,2014
113279,162,-0.8538931389504852,27,9.307057060908,532.387962962963,3189,3146107,1.7911439664928137,3002,2014
65843,163,-0.899328460910997,9,9.599385391972683,510.09722222222223,1232,4106902,3.199795130657561,3002,2014
21789,164,-0.9325347729586854,12,10.395559160098443,503.47083333333336,47,5218003,3.000939439729758,3002,2014
12965,165,-0.939493914124844,48,13.622738900152923,613.8078125,575,3106200,1.9662729927758191,3002,2014
