area,ies,Ncursos,municipio,N,idd,cpc,cpcf,ano
1,1,2,5103403,156,-2.151434898376465,2.7934467792510986,3,2012
1,1,1,5107602,0,,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,2,2,5300108,89,-0.8801546096801758,3.2277543544769287,4,2012
1,3,1,2802908,24,1.6196634769439697,2.524529457092285,3,2012
1,3,2,2806701,119,2.00323486328125,2.7080066204071045,3,2012
1,4,1,1300607,14,-3.51898455619812,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,4,2,1302603,129,-5.614267349243164,2.176898717880249,3,2012
1,4,1,1303403,11,-6.462609767913818,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,5,1,2203909,29,-1.886107325553894,2.5060482025146484,3,2012
1,5,1,2207702,38,-2.919668674468994,2.2613306045532227,3,2012
1,5,1,2208007,51,-4.9286699295043945,1.9776616096496582,3,2012
1,5,2,2211001,425,-9.607954978942871,1.9892772436141968,3,2012
1,6,1,3140001,129,-0.21698570251464844,3.0853960514068604,4,2012
1,7,1,3552205,28,7.492804527282715,4.361300468444824,5,2012
1,8,1,3126000,0,,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,8,1,3155504,50,4.97591495513916,3.2346668243408203,4,2012
1,8,1,3171303,63,0.4643383026123047,3.5497231483459473,4,2012
1,9,2,4113700,156,3.8635239601135254,3.3272745609283447,4,2012
1,10,1,4106902,244,-4.6139726638793945,2.297537088394165,3,2012
1,10,1,4113700,79,3.2476651668548584,3.081937074661255,4,2012
1,10,1,4115200,65,3.604950428009033,3.061223030090332,4,2012
1,10,1,4125506,71,0.6307997703552246,2.619256019592285,3,2012
1,10,1,4127700,37,6.006760597229004,3.143592119216919,4,2012
1,11,2,2611606,186,-7.995855331420898,2.0819709300994873,3,2012
1,12,1,4315602,41,2.7397356033325195,3.2758638858795166,4,2012
1,13,4,4302105,166,1.8240585327148438,2.778672456741333,3,2012
1,13,2,4304408,72,4.961681365966797,3.1901094913482666,4,2012
1,13,4,4305108,643,0.24074268341064453,2.6757209300994873,3,2012
1,13,2,4307906,79,0.3612833023071289,2.6598846912384033,3,2012
1,13,2,4309407,54,-2.274136543273926,2.4436302185058594,3,2012
1,13,2,4313300,80,-0.004124205559492111,2.499885082244873,3,2012
1,13,2,4319505,119,1.048996925354004,2.693329334259033,3,2012
1,13,2,4322509,49,3.5837974548339844,3.2947323322296143,4,2012
1,14,1,4314902,0,,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,14,6,4318705,457,-0.7321903705596924,3.0887296199798584,4,2012
1,15,1,3303906,76,3.0914268493652344,2.7045021057128906,3,2012
1,16,3,3304557,434,-7.635335922241211,1.9373047351837158,2,2012
1,17,1,3134202,33,-0.06446695327758789,2.9822919368743896,4,2012
1,17,3,3170206,293,3.9398746490478516,3.536787271499634,4,2012
1,18,1,4314407,124,-5.273778438568115,2.1956593990325928,3,2012
1,18,1,4317301,31,,,SC,2012
1,19,4,3509502,587,-5.365891456604004,2.1939210891723633,3,2012
1,20,1,4304705,81,1.9411571025848389,2.671673059463501,3,2012
1,20,1,4304903,83,-3.1254537105560303,2.2688493728637695,3,2012
1,20,1,4311304,27,1.4439140558242798,2.573920965194702,3,2012
1,20,1,4313706,11,,,SC,2012
1,20,1,4314100,193,-0.9619254469871521,2.4501521587371826,3,2012
1,20,1,4320107,73,2.983621597290039,2.808089017868042,3,2012
1,20,1,4320800,66,0.18999654054641724,2.410247325897217,3,2012
1,21,4,4314902,663,-3.008488178253174,2.8613929748535156,3,2012
1,21,1,4322400,34,,,SC,2012
1,22,1,3505708,155,6.099023818969727,3.4801321029663086,4,2012
1,22,1,3509502,34,6.474373817443848,3.541311025619507,4,2012
1,22,1,3550308,831,3.74031925201416,3.436692476272583,4,2012
1,23,1,4313409,306,1.972230315208435,3.0915894508361816,4,2012
1,24,1,2913606,73,-3.3830437660217285,2.2189228534698486,3,2012
1,27,1,3106705,19,,,SC,2012
1,27,1,3162005,25,,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,27,1,3169307,28,-5.150870323181152,1.8825984001159668,2,2012
1,29,1,2304400,119,3.967709541320801,2.9401845932006836,3,2012
1,30,1,3101607,87,1.0029550790786743,2.405571222305298,3,2012
1,30,1,3106200,51,-0.8998767137527466,2.5036776065826416,3,2012
1,30,1,3151800,22,,,SC,2012
1,33,1,3552205,49,3.2365732192993164,2.765472650527954,3,2012
1,40,1,2903904,19,-4.806227684020996,1.6221098899841309,2,2012
1,40,1,2911709,86,-1.9539542198181152,1.9517858028411865,3,2012
1,40,2,2927408,200,1.1079387664794922,2.927870273590088,3,2012
1,40,2,2928703,95,-1.6288797855377197,1.9451063871383667,3,2012
1,40,1,2930501,50,1.994442343711853,2.5640511512756348,3,2012
1,43,3,4205407,267,6.474488258361816,4.064859390258789,5,2012
1,43,1,4206900,4,,,SC,2012
1,46,5,4101408,106,-0.13358759880065918,2.4142467975616455,3,2012
1,47,1,5201108,30,8.437122344970703,3.0614089965820312,4,2012
1,47,1,5201405,0,,,SC,2012
1,47,1,5204508,56,-1.4018608331680298,1.7977476119995117,2,2012
1,47,1,5208608,42,0.37931835651397705,1.933874249458313,2,2012
1,47,1,5212501,35,3.6163101196289062,2.4926154613494873,3,2012
1,47,1,5219001,32,-3.486419200897217,1.5153385400772095,2,2012
1,47,1,5219308,42,2.2760417461395264,2.0835063457489014,3,2012
1,47,1,5220603,28,2.7562458515167236,2.370462656021118,3,2012
1,54,4,3526902,130,-12.81341552734375,2.4858181476593018,3,2012
1,56,1,3524303,77,-4.764371871948242,3.2508699893951416,4,2012
1,56,1,3555000,95,6.96991491317749,4.2161383628845215,5,2012
1,57,1,4115200,163,-2.1783008575439453,2.600740432739258,3,2012
1,60,1,3516200,154,-4.310188293457031,2.4664158821105957,3,2012
1,67,1,3538709,57,-5.975854873657227,1.9283559322357178,2,2012
1,68,1,3537305,26,-3.931579828262329,1.9633307456970215,3,2012
1,71,1,2407203,32,,,SC,2012
1,71,1,2408003,34,2.423011302947998,2.5786473751068115,3,2012
1,71,1,2409407,43,,,SC,2012
1,75,1,4118402,102,-1.9543492794036865,2.211568832397461,3,2012
1,76,1,4202404,184,1.595159888267517,2.610973834991455,3,2012
1,77,1,3300704,86,-4.805908679962158,1.7849186658859253,2,2012
1,80,1,4214003,0,,,SC,2012
1,80,1,4214805,128,1.8469808101654053,2.8546879291534424,3,2012
1,80,1,4217808,42,6.163052558898926,3.3664944171905518,4,2012
1,81,1,4209102,235,-0.4893350601196289,2.4001994132995605,3,2012
1,81,1,4215802,66,3.3837826251983643,2.9001100063323975,3,2012
1,81,1,4216206,28,-0.6555576324462891,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,82,1,4203600,18,6.722711563110352,3.0079894065856934,4,2012
1,82,1,4203907,17,2.846919059753418,2.5884671211242676,3,2012
1,82,1,4204202,55,4.024471282958984,2.9737794399261475,4,2012
1,82,2,4209003,82,1.772767186164856,2.729762554168701,3,2012
1,82,1,4210506,36,6.4940056800842285,3.1125872135162354,4,2012
1,82,1,4211009,18,,,SC,2012
1,82,1,4217204,67,2.73016619682312,2.9097049236297607,3,2012
1,82,1,4219309,77,-1.1939594745635986,2.574479818344116,3,2012
1,82,1,4219507,44,4.925746917724609,2.8699750900268555,3,2012
1,83,2,4202008,109,0.96087646484375,2.7174079418182373,3,2012
