ies,orgacad,catadm,curso,area,municipio,Nci,Ncp,enade,N,fracN,idd,cpc,cpcf,ano,adm
1,Universidade,Federal,13,1,5103403,76,66,4.324608325958252,62.0,0.939393937587738,0.5804351568222046,2.9547458800606416,4,2015,pub
1,Universidade,Federal,1127343,1,5107602,22,22,2.924346685409546,20.0,0.9090909361839294,0.8245201706886292,3.0158450589690817,4,2015,pub
2,Universidade,Federal,145,1,5300108,232,157,4.817257881164551,84.0,0.5350318551063538,0.5308029055595398,3.474542252157352,4,2015,pub
3,Universidade,Federal,305,1,2806701,109,86,2.4355292320251465,44.0,0.5116279125213623,-1.170873999595642,2.4585294588577575,3,2015,pub
3,Universidade,Federal,20762,1,2806701,86,54,2.6019632816314697,14.0,0.25925925374031067,-3.4453606605529785,2.035394980216406,3,2015,pub
3,Universidade,Federal,95033,1,2802908,54,37,2.3013978004455566,8.0,0.21621622145175934,-0.4304864704608917,2.253027383941513,3,2015,pub
4,Universidade,Federal,392,1,1302603,183,154,3.3870606422424316,124.0,0.8051947951316833,0.08078054338693619,2.78177572567983,3,2015,pub
4,Universidade,Federal,101608,1,1300607,66,60,2.1657445430755615,28.0,0.46666666865348816,0.7906275987625122,2.274653668978282,3,2015,pub
4,Universidade,Federal,112106,1,1303403,75,60,2.0963058471679688,33.0,0.550000011920929,-0.2542206645011902,,Curso não reconhecido até 31/12/2015,2015,pub
4,Universidade,Federal,1104306,1,1302603,17,1,,,,,,SC,2015,pub
5,Universidade,Federal,500,1,2207702,36,28,2.1751022338867188,19.0,0.6785714030265808,-1.2426903247833252,2.174520675151059,3,2015,pub
5,Universidade,Federal,18373,1,2211001,87,57,3.5356316566467285,37.0,0.6491228342056274,-0.0746329128742218,2.6387856773198557,3,2015,pub
5,Universidade,Federal,99870,1,2208007,46,35,2.2808687686920166,21.0,0.6000000238418579,-0.6950042843818665,2.1091776810472744,3,2015,pub
5,Universidade,Federal,108006,1,2211001,9,0,,,,,,SC,2015,pub
5,Universidade,Federal,116640,1,2203909,109,69,2.1690237522125244,65.0,0.9420289993286133,-0.27977699041366577,2.235576760648825,3,2015,pub
6,Universidade,Federal,112594,1,3140001,98,85,3.258923053741455,51.0,0.6000000238418579,-0.1651207059621811,3.0621575415559326,4,2015,pub
7,Universidade,Federal,115084,1,3552205,69,64,4.91783332824707,55.0,0.859375,0.17909517884254456,3.7798165352436603,4,2015,pub
8,Universidade,Federal,683,1,3171303,79,74,4.822947025299072,69.0,0.9324324131011963,0.5051140785217285,3.545472787942617,4,2015,pub
8,Universidade,Federal,111120,1,3155504,42,39,3.3068268299102783,31.0,0.7948718070983887,0.7343564033508301,2.8968927246377527,3,2015,pub
8,Universidade,Federal,1126514,1,3126000,42,39,2.8095457553863525,37.0,0.9487179517745972,-0.5271084308624268,2.7779393768822747,3,2015,pub
9,Universidade,Estadual,766,1,4113700,157,141,4.072271347045898,99.0,0.7021276354789734,0.26372048258781433,3.079637712814992,4,2015,pub
10,Universidade,Privada,877,1,4125506,35,29,4.329497337341309,23.0,0.7931034564971924,2.6935300827026367,3.5674201469569216,4,2015,priv
