ies,curso,area,municipio,N,fracN,idd,cpc,cpcf,ano
1,37,5,5103403,27.0,0.931034505367279,-0.8728068470954895,2.741962795758126,3,2016
1,100763,5,5107909,25.0,0.8333333134651184,-0.3635426461696625,2.998656879940494,4,2016
1,12,12,5103403,31.0,0.939393937587738,-3.4093246459960938,1.8686695768168278,2,2016
1,9,17,5103403,44.0,0.8461538553237915,-0.2609739601612091,3.2022141287599384,4,2016
1,100778,17,5107909,62.0,0.8157894611358643,-1.4332423210144043,2.7431501354411902,3,2016
1,116662,17,5101803,15.0,0.8823529481887817,-1.8127959966659546,2.6049393616424457,3,2016
1,21442,19,5106653,13.0,1.0,-0.3474520146846771,2.9734716091144437,4,2016
1,116720,19,5107909,19.0,1.0,0.8061570525169373,3.3147273965758357,4,2016
1,17,23,5103403,27.0,0.9642857313156128,-0.1875891536474228,2.9329102793522415,3,2016
1,100770,23,5107909,11.0,0.9166666865348816,1.379709243774414,3.4173723796598106,4,2016
1,100804,23,5107602,21.0,0.9545454382896423,-1.0525140762329102,2.202912597462003,3,2016
1,100928,23,5106653,11.0,1.0,0.9389263391494751,3.067059365831599,4,2016
1,20,28,5103403,18.0,1.0,0.32820838689804077,3.01821222468555,4,2016
1,7,38,5103403,32.0,1.0,-1.375148057937622,2.443779046727216,3,2016
1,62906,51,5107602,20.0,1.0,1.0498749017715454,3.3337066701172624,4,2016
1,100772,51,5107909,25.0,0.9259259104728699,-0.22769615054130554,2.825257315517048,3,2016
1,123620,51,5103403,14.0,1.0,0.3656419515609741,3.310118843994725,4,2016
1,116648,55,5101803,18.0,1.0,-0.969543993473053,2.824454815292873,3,2016
1,1168551,3501,5103403,4.0,1.0,1.5834115743637085,3.6943376823955902,4,2016
2,18031,5,5300108,69.0,0.7340425252914429,-0.06873086839914322,3.234418821789075,4,2016
2,141,6,5300108,46.0,0.8518518805503845,0.8353566527366638,3.4910915370487943,4,2016
2,140,12,5300108,66.0,0.7764706015586853,-0.09972456097602844,3.2532048947180208,4,2016
2,135,17,5300108,60.0,0.6976743936538696,1.151324987411499,3.539521597349631,4,2016
2,18030,19,5300108,39.0,0.7222222089767456,-0.23927952349185944,2.8813609716630038,3,2016
2,112794,19,5300108,59.0,0.7662337422370911,0.5240830183029175,3.7837509524216686,4,2016
2,1140088,19,5300108,20.0,0.7692307829856873,-0.4153376817703247,3.0492802229017313,4,2016
2,143,23,5300108,38.0,0.7450980544090271,0.16718898713588715,3.2464088770491277,4,2016
