area,ies,curso,municipio,Nci,Ncp,enade,N,fracN,idd,cpc,cpcf,ano
21,1,44,5103403,44,43,4.087299895854,40.0,0.93023255814,0.60366214573,2.891709914,3,2017
21,2,132,5300108,141,128,3.94897905658,97.0,0.7578125,0.273903182756,3.261128069,4,2017
21,2,1138293,5300108,123,110,3.363622223384,84.0,0.763636363636,-0.697898457223,2.93943418,3,2017
21,3,99444,2803609,42,31,3.679414675958,24.0,0.774193548387,1.407099552734,2.948924657,4,2017
21,4,122640,1302603,64,50,3.348468346354,50.0,1.0,-0.680561006174,2.411124329,3,2017
21,5,517,2211001,91,82,4.13834289789,81.0,0.987804878049,-0.6571205128,2.736133876,3,2017
21,6,112596,3146107,45,43,3.943127087287,39.0,0.906976744186,0.445634605906,3.20814696,4,2017
21,8,704,3171303,48,46,4.444785781252,46.0,1.0,0.008688751745,3.623184037,4,2017
21,9,750,4113700,69,65,3.498882997173,63.0,0.969230769231,-3.380539087827,2.297598235,3,2017
21,10,864,4106902,201,182,2.901347833251,159.0,0.873626373626,-0.277736247299,2.644606217,3,2017
21,11,52971,2611606,81,67,2.927218934026,61.0,0.910447761194,-0.047144052098,2.842825184,3,2017
21,13,1140,4305108,145,139,2.975628994553,70.0,0.503597122302,0.780290733018,2.906265037,3,2017
21,13,1181260,4302105,4,4,1.337245283132,2.0,0.5,-3.126332131994,1.931774842,2,2017
21,14,1237,4318705,179,169,2.294683662258,102.0,0.603550295858,-0.245029463132,2.748622952,3,2017
21,15,1276952,3303906,43,38,2.459975125888,23.0,0.605263157895,1.156782884159,2.510777323,3,2017
21,17,18374,3170206,69,64,4.058435539614,57.0,0.890625,-0.46687369793,2.997716351,4,2017
21,18,1534,4314407,64,62,2.068451246813,50.0,0.806451612903,-0.520040380833,2.423861544,3,2017
21,19,1634,3509502,182,172,3.117613430521,160.0,0.93023255814,-0.112878039161,2.636355894,3,2017
21,20,1786,4314100,139,132,2.443142890611,119.0,0.901515151515,-0.048940837346,2.588288131,3,2017
21,21,18056,4314902,114,105,3.225089456779,78.0,0.742857142857,-0.158351704154,2.613499513,3,2017
21,22,2016,3550308,371,346,3.818537502611,309.0,0.893063583815,0.224703575531,3.011434562,4,2017
21,23,41780,4313409,93,86,1.934925718127,38.0,0.441860465116,-0.424756519362,2.585908261,3,2017
21,43,112414,4209409,97,93,3.417993838706,82.0,0.881720430108,0.216763049395,2.384841649,3,2017
21,47,21866,5201108,101,100,3.647763984263,96.0,0.96,0.035427451585,2.751275664,3,2017
21,54,18400,3509502,43,43,4.7286184781,40.0,0.93023255814,-0.010234156803,3.508306059,4,2017
21,56,3202,3506003,68,66,4.778783762238,65.0,0.984848484848,0.263568484892,3.476401508,4,2017
21,56,66995,3541406,62,58,4.565108410128,55.0,0.948275862069,0.955642546745,3.549409832,4,2017
21,57,21627,4115200,29,27,4.830040226385,21.0,0.777777777778,3.364633142292,4.118374625,5,2017
21,76,3681,4202404,64,58,2.512957109473,43.0,0.741379310345,0.063597465759,2.392593665,3,2017
21,81,5001003,4209102,25,24,1.93067294175,20.0,0.833333333333,-1.441828363614,2.256803463,3,2017
21,82,21000,4219507,35,24,2.162390640648,22.0,0.916666666667,0.678179405894,2.541203161,3,2017
21,82,115790,4217204,48,36,2.980988469498,28.0,0.777777777778,1.867018844198,2.711829891,3,2017
21,82,1169147,4219309,25,25,2.140299131096,17.0,0.68,-0.154845192839,2.318220386,3,2017
21,83,3948,4202008,129,125,2.971647173291,86.0,0.688,0.465886314225,2.792770701,3,2017
21,87,1175164,4202909,22,22,2.515592404775,15.0,0.681818181818,2.364184162333,2.954562528,4,2017
21,107,122322,3162500,42,36,3.890519218072,33.0,0.916666666667,-0.112976216991,3.313391764,4,2017
21,124,19361,3503208,60,40,1.960349828369,36.0,0.9,-0.310933147004,2.254903548,3,2017
21,125,68190,3503307,26,25,2.491807877286,21.0,0.84,1.245247687564,2.929238762,3,2017
21,137,110808,3506003,125,121,2.413853312465,105.0,0.867768595041,-0.314001411782,3.115544665,4,2017
21,138,19008,3543402,43,41,1.560775078426,29.0,0.707317073171,-0.630480047883,2.181381263,3,2017
21,142,4545,3170206,62,60,1.711055513946,51.0,0.85,-0.788843250492,2.418508943,3,2017
21,143,4602,3170107,77,71,2.542250298209,55.0,0.774647887324,0.213205086769,2.517762123,3,2017
21,146,20300,3549805,108,97,2.073062454696,62.0,0.639175257732,0.107615133463,2.121349077,3,2017
21,150,1107280,3552205,234,215,2.197103723912,169.0,0.786046511628,0.121114044818,2.548935327,3,2017
21,162,4887,3550308,312,274,2.568553042847,208.0,0.759124087591,-0.110212332117,2.599367043,3,2017
21,163,4960,3304557,118,113,2.289888955032,57.0,0.504424778761,0.396736027299,2.664788725,3,2017
21,163,1161243,3303302,61,61,1.858020189486,45.0,0.737704918033,-0.581987427684,2.283044467,3,2017
21,163,1183749,3304557,67,66,2.198258939712,39.0,0.590909090909,-0.528328962418,2.31768787,3,2017
21,163,1184923,3303906,42,41,2.059976825063,24.0,0.585365853659,-0.762907655925,2.391230758,3,2017
21,203,5480,3550308,221,206,3.089018194585,182.0,0.883495145631,0.22330529057,3.177584347,4,2017
21,207,5586,3543402,121,116,2.244119819146,96.0,0.827586206897,0.287649101154,2.577220821,3,2017
21,216,5778,3106200,82,73,2.605270992582,49.0,0.671232876712,-0.463869077443,2.30911745,3,2017
21,216,111224,3106200,110,101,2.06757044663,86.0,0.851485148515,-0.815293746483,2.12625873,3,2017
21,221,70356,3550308,99,97,1.150043315376,72.0,0.742268041237,-0.879262582454,2.537221746,3,2017
21,222,20420,3557105,83,81,1.722695169668,67.0,0.827160493827,-0.354184514404,2.497399219,3,2017
21,227,5956,3548500,86,76,2.723546777275,58.0,0.763157894737,0.660402960382,3.084684051,4,2017
21,240,6116,3304557,83,72,1.948590996023,18.0,0.25,-1.694929702432,2.225641865,3,2017
21,265,82643,3534708,45,42,2.129819415709,33.0,0.785714285714,0.833174982203,3.0431186,4,2017
21,266,6422,3545803,63,55,2.358898402665,50.0,0.909090909091,-0.1482781991,2.664447714,3,2017
21,269,100086,3555000,62,49,1.377181468212,38.0,0.775510204082,-0.336540305938,1.833948855,2,2017
21,271,68101,3541406,118,109,2.076245016992,95.0,0.871559633028,0.08335252778,2.73757592,3,2017
21,275,6574,3549904,75,48,2.423892075456,30.0,0.625,-0.573785570796,2.533271485,3,2017
21,277,96306,3304557,269,237,1.658261160279,133.0,0.561181434599,-0.149206165873,2.255522714,3,2017
21,295,20107,4316808,67,66,2.979963407812,50.0,0.757575757576,0.684966417162,2.686237576,3,2017
21,296,6816,4301602,26,25,1.551198774698,16.0,0.64,-2.533129275515,1.680764673,2,2017
21,298,1190185,4113700,34,30,2.006977160786,20.0,0.666666666667,1.67977688144,3.216782211,4,2017
21,316,66254,3550308,368,355,1.597439622337,218.0,0.614084507042,0.037173789479,3.118475241,4,2017
21,322,7273,3550308,47,31,2.141410817919,12.0,0.387096774194,-1.124534668809,2.248136799,3,2017
21,322,7302,3509502,103,81,3.151689150828,43.0,0.530864197531,0.871365973242,2.890752102,3,2017
21,322,7305,3543402,55,51,2.3798592253,38.0,0.745098039216,0.624369614321,3.091074386,4,2017
21,322,19547,3547304,68,65,1.811988121656,44.0,0.676923076923,1.241891450117,2.817048311,3,2017
21,322,59612,3506003,47,46,1.823736976627,31.0,0.673913043478,-0.112484854911,2.513408706,3,2017
21,322,59688,3549904,61,45,3.178334607202,33.0,0.733333333333,1.666056193007,3.164460613,4,2017
21,322,59713,3552205,63,62,2.198775507941,48.0,0.774193548387,0.493690708021,2.581924127,3,2017
21,322,60010,5300108,136,124,1.743612055307,106.0,0.854838709677,-0.065794293021,2.209744606,3,2017
21,322,60020,5208707,217,190,1.692534703568,137.0,0.721052631579,-0.319700239605,2.230781318,3,2017
21,322,75159,3550308,40,37,2.384017574731,24.0,0.648648648649,1.956789264943,2.932531279,3,2017
21,322,75996,3549805,61,51,2.274170913202,43.0,0.843137254902,-0.088995068394,2.452390475,3,2017
21,322,115454,3550308,135,109,2.181554438658,67.0,0.614678899083,0.000248631891,2.51602268,3,2017
21,322,1156001,3550308,85,82,2.599474339834,60.0,0.731707317073,1.327884188695,2.677944283,3,2017
21,322,1156002,3550308,77,71,2.211278391747,51.0,0.718309859155,0.695155631582,2.535691534,3,2017
21,322,1160943,3525904,72,66,2.590999943234,45.0,0.681818181818,0.655183186671,2.626029089,3,2017
21,322,1160999,3548500,68,63,1.376092569877,31.0,0.492063492063,-0.414583822722,2.15002002,3,2017
21,322,1161030,3502804,41,38,2.108735880777,28.0,0.736842105263,0.452970372734,2.463172074,3,2017
21,322,1258833,3503208,16,15,2.736649244806,9.0,0.6,3.198753364781,3.515984218,4,2017
21,322,5000428,3504008,46,43,2.574638157546,36.0,0.837209302326,1.089307244641,2.639552204,3,2017
21,322,5000431,3526902,50,34,2.605513281436,27.0,0.794117647059,0.430657513096,2.792224823,3,2017
21,337,86577,3136702,76,69,2.510068253721,57.0,0.826086956522,-0.333675183306,1.999842542,3,2017
21,338,7515,3106200,173,168,3.353890667031,151.0,0.89880952381,0.026098647275,3.004055134,4,2017
21,338,18588,3151800,133,131,2.128583182204,126.0,0.961832061069,-0.01943325541,2.469392995,3,2017
21,343,1113670,3106200,80,73,2.456142688959,42.0,0.575342465753,0.360245628716,2.94934948,4,2017
21,344,93392,3106200,83,79,2.876440490223,63.0,0.79746835443,0.726073211922,3.192445816,4,2017
21,344,1314241,3106200,1,0,,,,,,SC,2017
21,349,55439,3106200,148,134,2.834165250519,113.0,0.84328358209,0.186238840342,3.157822997,4,2017
21,352,38551,2507507,145,131,1.942018419649,115.0,0.87786259542,-0.096962314688,2.176981478,3,2017
