ies,siglies,orgacad,catadm,curso,area,modalidade,municipio,Nci,Ncp,enade,N,fracN,idd,cpc,cpcf,ano
1,UFMT,Universidade,Pública Federal,1,2,Educação Presencial,5103403,82,72,4.198416837,68,0.944444444,-1.202862111,3.027883464,4,2018
1,UFMT,Universidade,Pública Federal,2,13,Educação Presencial,5103403,29,23,2.178005439,23,1.0,-0.259024473,2.814476755,3,2018
1,UFMT,Universidade,Pública Federal,7,38,Educação Presencial,5103403,32,22,3.414038119,22,1.0,0.123834363,3.131664777,4,2018
1,UFMT,Universidade,Pública Federal,8,22,Educação Presencial,5103403,75,66,3.529495675,65,0.984848485,-0.703735804,3.059953888,4,2018
1,UFMT,Universidade,Pública Federal,13,1,Educação Presencial,5103403,122,101,3.684678766,93,0.920792079,-0.005393799,3.123130462,4,2018
1,UFMT,Universidade,Pública Federal,21,22,Educação Presencial,5107602,54,49,2.888911559,44,0.897959184,0.621035974,2.665894759,3,2018
2,UNB,Universidade,Pública Federal,122,13,Educação Presencial,5300108,113,92,4.409952308,76,0.826086957,0.510713014,3.495237036,4,2018
2,UNB,Universidade,Pública Federal,126,38,Educação Presencial,5300108,91,81,4.650865065,72,0.888888889,-0.230034984,3.421524652,4,2018
2,UNB,Universidade,Pública Federal,128,81,Educação Presencial,5300108,158,134,3.760139062,122,0.910447761,-0.261307381,3.170918218,4,2018
2,UNB,Universidade,Pública Federal,145,1,Educação Presencial,5300108,274,189,4.607236582,136,0.71957672,-0.627551692,3.405828518,4,2018
2,UNB,Universidade,Pública Federal,148,2,Educação Presencial,5300108,158,141,5.0,124,0.879432624,-0.62942931,3.471875331,4,2018
2,UNB,Universidade,Pública Federal,149,22,Educação Presencial,5300108,97,85,4.408393334,75,0.882352941,0.550912561,3.397835287,4,2018
2,UNB,Universidade,Pública Federal,165,2,Educação Presencial,5300108,138,123,4.781751375,97,0.788617886,-0.619510095,3.500416824,4,2018
2,UNB,Universidade,Pública Federal,167,22,Educação Presencial,5300108,174,139,3.950643493,93,0.669064748,-0.475132408,3.14985005,4,2018
3,UFS,Universidade,Pública Federal,306,22,Educação Presencial,2806701,80,75,2.902744659,47,0.626666667,0.7784192,2.853699095,3,2018
3,UFS,Universidade,Pública Federal,308,2,Educação Presencial,2806701,140,117,4.693132473,97,0.829059829,-0.014096824,3.203011328,4,2018
4,UFAM,Universidade,Pública Federal,376,2,Educação Presencial,1302603,126,109,4.332487699,98,0.899082569,-0.689660275,2.728336696,3,2018
4,UFAM,Universidade,Pública Federal,377,38,Educação Presencial,1302603,72,62,3.196983175,59,0.951612903,0.215511697,3.024386539,4,2018
4,UFAM,Universidade,Pública Federal,378,13,Educação Presencial,1302603,69,54,1.823134591,49,0.907407407,-0.309980333,2.38268892,3,2018
