area,nomarea,ies,nomies,ca,curso,N,enade,ce,ano
2,DIREITO,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,Pessoa Jurídica de Direito Público - Federal,1,72,4.198416837,5,2018
13,CIÊNCIAS ECONÔMICAS,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,Pessoa Jurídica de Direito Público - Federal,2,23,2.178005439,3,2018
38,SERVIÇO SOCIAL,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,Pessoa Jurídica de Direito Público - Federal,7,22,3.414038119,4,2018
22,CIÊNCIAS CONTÁBEIS,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,Pessoa Jurídica de Direito Público - Federal,8,66,3.529495675,4,2018
1,ADMINISTRAÇÃO,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,Pessoa Jurídica de Direito Público - Federal,13,101,3.684678766,4,2018
22,CIÊNCIAS CONTÁBEIS,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,Pessoa Jurídica de Direito Público - Federal,21,49,2.888911559,3,2018
13,CIÊNCIAS ECONÔMICAS,2,UNIVERSIDADE DE BRASÍLIA,Pessoa Jurídica de Direito Público - Federal,122,92,4.409952308,5,2018
38,SERVIÇO SOCIAL,2,UNIVERSIDADE DE BRASÍLIA,Pessoa Jurídica de Direito Público - Federal,126,81,4.650865065,5,2018
81,RELAÇÕES INTERNACIONAIS,2,UNIVERSIDADE DE BRASÍLIA,Pessoa Jurídica de Direito Público - Federal,128,134,3.760139062,4,2018
1,ADMINISTRAÇÃO,2,UNIVERSIDADE DE BRASÍLIA,Pessoa Jurídica de Direito Público - Federal,145,189,4.607236582,5,2018
2,DIREITO,2,UNIVERSIDADE DE BRASÍLIA,Pessoa Jurídica de Direito Público - Federal,148,141,5.0,5,2018
22,CIÊNCIAS CONTÁBEIS,2,UNIVERSIDADE DE BRASÍLIA,Pessoa Jurídica de Direito Público - Federal,149,85,4.408393334,5,2018
2,DIREITO,2,UNIVERSIDADE DE BRASÍLIA,Pessoa Jurídica de Direito Público - Federal,165,123,4.781751375,5,2018
22,CIÊNCIAS CONTÁBEIS,2,UNIVERSIDADE DE BRASÍLIA,Pessoa Jurídica de Direito Público - Federal,167,139,3.950643493,5,2018
