area,ca,curso,modalidade,N,idd,idd_faixa,ano
2,Pessoa Jurídica de Direito Público - Federal,1,Educação Presencial,68,-1.202862111,2,2018
13,Pessoa Jurídica de Direito Público - Federal,2,Educação Presencial,23,-0.259024473,3,2018
38,Pessoa Jurídica de Direito Público - Federal,7,Educação Presencial,22,0.123834363,3,2018
22,Pessoa Jurídica de Direito Público - Federal,8,Educação Presencial,65,-0.703735804,3,2018
1,Pessoa Jurídica de Direito Público - Federal,13,Educação Presencial,93,-0.005393799,3,2018
22,Pessoa Jurídica de Direito Público - Federal,21,Educação Presencial,44,0.621035974,3,2018
13,Pessoa Jurídica de Direito Público - Federal,122,Educação Presencial,76,0.510713014,3,2018
38,Pessoa Jurídica de Direito Público - Federal,126,Educação Presencial,72,-0.230034984,3,2018
81,Pessoa Jurídica de Direito Público - Federal,128,Educação Presencial,122,-0.261307381,3,2018
1,Pessoa Jurídica de Direito Público - Federal,145,Educação Presencial,136,-0.627551692,3,2018
2,Pessoa Jurídica de Direito Público - Federal,148,Educação Presencial,124,-0.62942931,3,2018
22,Pessoa Jurídica de Direito Público - Federal,149,Educação Presencial,75,0.550912561,3,2018
2,Pessoa Jurídica de Direito Público - Federal,165,Educação Presencial,97,-0.619510095,3,2018
22,Pessoa Jurídica de Direito Público - Federal,167,Educação Presencial,93,-0.475132408,3,2018
22,Pessoa Jurídica de Direito Público - Federal,306,Educação Presencial,47,0.7784192,3,2018
2,Pessoa Jurídica de Direito Público - Federal,308,Educação Presencial,97,-0.014096824,3,2018
2,Pessoa Jurídica de Direito Público - Federal,376,Educação Presencial,98,-0.689660275,3,2018
38,Pessoa Jurídica de Direito Público - Federal,377,Educação Presencial,59,0.215511697,3,2018
13,Pessoa Jurídica de Direito Público - Federal,378,Educação Presencial,49,-0.309980333,3,2018
22,Pessoa Jurídica de Direito Público - Federal,388,Educação Presencial,39,-0.945024826,3,2018
1,Pessoa Jurídica de Direito Público - Federal,392,Educação Presencial,130,-0.022264551,3,2018
803,Pessoa Jurídica de Direito Público - Federal,395,Educação Presencial,27,-0.091222621,3,2018
22,Pessoa Jurídica de Direito Público - Federal,490,Educação Presencial,54,0.507295085,3,2018
2,Pessoa Jurídica de Direito Público - Federal,491,Educação Presencial,74,-0.397670981,3,2018
13,Pessoa Jurídica de Direito Público - Federal,492,Educação Presencial,44,0.277853493,3,2018
38,Pessoa Jurídica de Direito Público - Federal,497,Educação Presencial,30,-0.611827815,3,2018
1,Pessoa Jurídica de Direito Público - Federal,500,Educação Presencial,49,-0.513445011,3,2018
22,Pessoa Jurídica de Direito Público - Federal,501,Educação Presencial,36,-0.54494111,3,2018
13,Pessoa Jurídica de Direito Público - Federal,502,Educação Presencial,26,-0.260287204,3,2018
2,Pessoa Jurídica de Direito Público - Federal,596,Educação Presencial,92,0.020135084,3,2018
1,Pessoa Jurídica de Direito Público - Federal,683,Educação Presencial,66,-0.263491403,3,2018
13,Pessoa Jurídica de Direito Público - Federal,686,Educação Presencial,30,0.335967721,3,2018
2,Pessoa Jurídica de Direito Público - Federal,705,Educação Presencial,58,-1.788285883,2,2018
38,Pessoa Jurídica de Direito Público - Estadual,762,Educação Presencial,39,-1.570447921,2,2018
2,Pessoa Jurídica de Direito Público - Estadual,764,Educação Presencial,209,-0.08560491,3,2018
13,Pessoa Jurídica de Direito Público - Estadual,765,Educação Presencial,43,0.346444317,3,2018
1,Pessoa Jurídica de Direito Público - Estadual,766,Educação Presencial,109,0.229123478,3,2018
22,Pessoa Jurídica de Direito Público - Estadual,767,Educação Presencial,74,0.066992432,3,2018
18,Pessoa Jurídica de Direito Público - Estadual,773,Educação Presencial,57,0.094136367,3,2018
67,Pessoa Jurídica de Direito Público - Estadual,781,Educação Presencial,25,-0.488627611,2,2018
2,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,857,Educação Presencial,241,-0.165553729,3,2018
38,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,859,Educação Presencial,34,-1.02651959,3,2018
18,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,866,Educação Presencial,126,0.192538567,3,2018
18,Privada sem fins lucrativos,952,Educação Presencial,21,-0.870876079,3,2018
38,Privada sem fins lucrativos,957,Educação Presencial,10,-1.408909077,2,2018
13,Privada sem fins lucrativos,958,Educação Presencial,15,0.534678717,3,2018
22,Privada sem fins lucrativos,959,Educação Presencial,30,-1.67479632,2,2018
1,Privada sem fins lucrativos,960,Educação Presencial,120,-0.171521331,3,2018
2,Privada sem fins lucrativos,963,Educação Presencial,572,-0.131815781,3,2018
13,Pessoa Jurídica de Direito Público - Federal,1027,Educação Presencial,29,-0.620046822,3,2018
1,Pessoa Jurídica de Direito Público - Federal,1028,Educação Presencial,35,0.38473371,3,2018
22,Pessoa Jurídica de Direito Público - Federal,1041,Educação Presencial,33,-0.702188248,3,2018
38,Privada sem fins lucrativos,1098,Educação Presencial,7,5.982961916,5,2018
2,Privada sem fins lucrativos,1101,Educação Presencial,163,-0.212249242,3,2018
22,Privada sem fins lucrativos,1103,Educação Presencial,79,0.300457069,3,2018
13,Privada sem fins lucrativos,1104,Educação Presencial,23,0.129250916,3,2018
2,Privada sem fins lucrativos,1113,Educação Presencial,46,-0.371641434,3,2018
22,Privada sem fins lucrativos,1121,Educação Presencial,27,1.353963602,4,2018
2,Privada sem fins lucrativos,1124,Educação Presencial,58,0.482278896,3,2018
2,Privada sem fins lucrativos,1230,Educação Presencial,225,-0.146037412,3,2018
13,Privada sem fins lucrativos,1232,Educação Presencial,19,-0.01840771,3,2018
22,Privada sem fins lucrativos,1233,Educação Presencial,32,0.462802251,3,2018
38,Privada sem fins lucrativos,1242,Educação Presencial,17,2.335429949,4,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1312,Educação Presencial,25,-0.595425485,3,2018
22,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1313,Educação Presencial,22,-1.638809266,2,2018
13,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1314,Educação Presencial,7,2.439841533,4,2018
2,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1315,Educação Presencial,72,-0.256962018,3,2018
18,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1327,Educação Presencial,37,-0.043513372,3,2018
13,Pessoa Jurídica de Direito Público - Federal,1431,Educação Presencial,64,0.708136515,3,2018
2,Pessoa Jurídica de Direito Público - Federal,1436,Educação Presencial,195,-0.208661892,3,2018
22,Pessoa Jurídica de Direito Público - Federal,1443,Educação Presencial,159,0.166216874,3,2018
18,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1516,Educação Presencial,39,-1.306062359,2,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1517,Educação Presencial,45,-1.915273153,2,2018
22,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1523,Educação Presencial,1,,SC,2018
38,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1526,Educação Presencial,24,-1.693057014,2,2018
2,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1531,Educação Presencial,130,-0.24406544,3,2018
29,Privada sem fins lucrativos,1626,Educação Presencial,28,-0.526816404,2,2018
2,Privada sem fins lucrativos,1642,Educação Presencial,402,0.005415124,3,2018
38,Privada sem fins lucrativos,1650,Educação Presencial,22,0.052325553,3,2018
13,Privada sem fins lucrativos,1652,Educação Presencial,110,0.245120522,3,2018
22,Privada sem fins lucrativos,1653,Educação Presencial,36,0.319185466,3,2018
1,Privada sem fins lucrativos,1654,Educação Presencial,339,-0.384289904,3,2018
1,Privada sem fins lucrativos,1729,Educação Presencial,83,-0.332963943,3,2018
22,Privada sem fins lucrativos,1734,Educação Presencial,54,-0.180029585,3,2018
13,Privada sem fins lucrativos,1735,Educação Presencial,22,1.938673943,4,2018
2,Privada sem fins lucrativos,1736,Educação Presencial,114,-0.041525554,3,2018
1,Privada sem fins lucrativos,1752,Educação Presencial,27,-1.265146135,3,2018
22,Privada sem fins lucrativos,1753,Educação Presencial,23,0.493640201,3,2018
22,Privada sem fins lucrativos,1757,Educação Presencial,3,-1.680890252,2,2018
22,Privada sem fins lucrativos,1762,Educação Presencial,18,-1.543298855,2,2018
1,Privada sem fins lucrativos,1770,Educação Presencial,28,-1.578667264,2,2018
22,Privada sem fins lucrativos,1772,Educação Presencial,37,0.880577714,3,2018
1,Privada sem fins lucrativos,1773,Educação Presencial,17,-1.196552192,3,2018
1,Privada sem fins lucrativos,1774,Educação Presencial,20,-0.252145665,3,2018
101,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1880,Educação Presencial,4,2.886623174,4,2018
38,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1887,Educação Presencial,12,2.806351239,4,2018
2,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1888,Educação Presencial,462,0.07889085,3,2018
13,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1890,Educação Presencial,39,0.395671963,3,2018
18,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1903,Educação Presencial,161,-0.449939716,3,2018
13,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,2011,Educação Presencial,114,-0.531263836,3,2018
22,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,2012,Educação Presencial,63,0.088016597,3,2018
2,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,2015,Educação Presencial,677,-0.252004121,3,2018
26,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,2019,Educação Presencial,96,-0.343036421,3,2018
804,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,2030,Educação Presencial,423,-0.422890815,3,2018
22,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,2082,Educação Presencial,86,0.309500647,3,2018
1,Pessoa Jurídica de Direito Público - Estadual,2104,Educação Presencial,41,-1.235002279,3,2018
2,Pessoa Jurídica de Direito Público - Estadual,2106,Educação Presencial,67,-0.486150502,3,2018
13,Pessoa Jurídica de Direito Público - Estadual,2111,Educação Presencial,51,-0.222312045,3,2018
1,Privada sem fins lucrativos,2139,Educação Presencial,8,-0.443832654,3,2018
22,Privada sem fins lucrativos,2140,Educação Presencial,30,1.482121966,4,2018
18,Pessoa Jurídica de Direito Público - Estadual,2174,Educação Presencial,61,-0.093962402,3,2018
22,Pessoa Jurídica de Direito Público - Estadual,2198,Educação Presencial,33,-1.033033455,3,2018
38,Pessoa Jurídica de Direito Público - Estadual,2214,Educação Presencial,166,-0.538985354,3,2018
18,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,2290,Educação Presencial,28,-1.606599833,2,2018
2,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,2299,Educação Presencial,106,0.358795838,3,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,2305,Educação Presencial,33,0.108215897,3,2018
2,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,2312,Educação Presencial,58,0.763387022,4,2018
22,Pessoa Jurídica de Direito Público - Estadual,2448,Educação Presencial,49,-0.635326105,3,2018
26,Pessoa Jurídica de Direito Público - Estadual,2450,Educação Presencial,25,1.470527864,4,2018
22,Pessoa Jurídica de Direito Público - Estadual,2471,Educação Presencial,89,-0.621069622,3,2018
1,Pessoa Jurídica de Direito Público - Estadual,2532,Educação Presencial,102,-0.452014971,3,2018
13,Pessoa Jurídica de Direito Público - Estadual,2618,Educação Presencial,23,-0.065211815,3,2018
22,Pessoa Jurídica de Direito Público - Estadual,2619,Educação Presencial,56,0.205191271,3,2018
1,Pessoa Jurídica de Direito Público - Estadual,2620,Educação Presencial,6,-0.199323065,3,2018
13,Pessoa Jurídica de Direito Público - Estadual,2697,Educação Presencial,84,-1.125695334,2,2018
13,Pessoa Jurídica de Direito Público - Estadual,3129,Educação Presencial,168,-0.380484853,3,2018
2,Pessoa Jurídica de Direito Público - Estadual,3136,Educação Presencial,112,-1.607915888,2,2018
38,Pessoa Jurídica de Direito Público - Estadual,3137,Educação Presencial,82,-2.520294999,2,2018
803,Pessoa Jurídica de Direito Público - Estadual,3203,Educação Presencial,85,-0.82745298,3,2018
13,Pessoa Jurídica de Direito Público - Estadual,3392,Educação Presencial,36,0.024963929,3,2018
1,Pessoa Jurídica de Direito Público - Estadual,3393,Educação Presencial,63,0.559303309,3,2018
22,Pessoa Jurídica de Direito Público - Estadual,3394,Educação Presencial,65,0.218934863,3,2018
2,Pessoa Jurídica de Direito Público - Estadual,3395,Educação Presencial,130,0.302948342,3,2018
18,Pessoa Jurídica de Direito Público - Estadual,3401,Educação Presencial,60,0.56502334,4,2018
22,Pessoa Jurídica de Direito Público - Estadual,3415,Educação Presencial,13,5.164756868,5,2018
2,Pessoa Jurídica de Direito Público - Municipal,3482,Educação Presencial,362,-0.069770901,3,2018
2,Pessoa Jurídica de Direito Público - Municipal,3484,Educação Presencial,272,-0.228952427,3,2018
22,Pessoa Jurídica de Direito Público - Municipal,3486,Educação Presencial,38,-0.039123688,3,2018
13,Pessoa Jurídica de Direito Público - Municipal,3487,Educação Presencial,14,-2.906131662,2,2018
1,Pessoa Jurídica de Direito Público - Municipal,3488,Educação Presencial,67,-0.426355007,3,2018
1,Privada sem fins lucrativos,3529,Educação Presencial,17,-1.109690049,3,2018
1,Fundação Pública de Direito Privado Municipal,3542,Educação Presencial,15,0.313956129,3,2018
1,Pessoa Jurídica de Direito Público - Estadual,3558,Educação Presencial,17,-0.485282854,3,2018
13,Pessoa Jurídica de Direito Público - Estadual,3559,Educação Presencial,38,-0.474694439,3,2018
22,Pessoa Jurídica de Direito Público - Estadual,3560,Educação Presencial,22,-0.630860424,3,2018
38,Pessoa Jurídica de Direito Público - Estadual,3562,Educação Presencial,42,0.920406717,3,2018
2,Pessoa Jurídica de Direito Público - Estadual,3570,Educação Presencial,53,0.502811763,3,2018
1,Pessoa Jurídica de Direito Público - Estadual,3638,Educação Presencial,53,-0.323356486,3,2018
22,Pessoa Jurídica de Direito Público - Estadual,3639,Educação Presencial,49,0.856624623,3,2018
13,Pessoa Jurídica de Direito Público - Municipal,3658,Educação Presencial,11,1.388386491,3,2018
1,Pessoa Jurídica de Direito Público - Municipal,3659,Educação Presencial,76,-0.031269801,3,2018
22,Pessoa Jurídica de Direito Público - Municipal,3660,Educação Presencial,33,-0.19900588,3,2018
2,Pessoa Jurídica de Direito Público - Municipal,3663,Educação Presencial,143,-0.192887382,3,2018
38,Pessoa Jurídica de Direito Público - Municipal,3672,Educação Presencial,3,5.905704702,5,2018
67,Pessoa Jurídica de Direito Público - Municipal,3679,Educação Presencial,2,11.03378994,5,2018
18,Pessoa Jurídica de Direito Público - Municipal,3685,Educação Presencial,36,-1.74721186,2,2018
1,Privada sem fins lucrativos,3776,Educação Presencial,50,-0.104528979,3,2018
22,Privada sem fins lucrativos,3777,Educação Presencial,35,2.577270296,4,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Sociedade,3797,Educação Presencial,75,-0.312877933,3,2018
22,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Sociedade,3798,Educação Presencial,35,-0.038011034,3,2018
13,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Sociedade,3800,Educação Presencial,17,-2.902481001,2,2018
1,Privada sem fins lucrativos,3825,Educação Presencial,36,0.707382318,3,2018
22,Privada sem fins lucrativos,3826,Educação Presencial,31,2.556163892,4,2018
2,Privada sem fins lucrativos,3828,Educação Presencial,90,0.358554959,3,2018
22,Privada sem fins lucrativos,3831,Educação Presencial,32,0.929447593,3,2018
1,Privada sem fins lucrativos,3833,Educação Presencial,38,-1.018475704,3,2018
2,Privada sem fins lucrativos,3835,Educação Presencial,27,1.003819333,4,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,3836,Educação Presencial,26,0.593118091,3,2018
22,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,3837,Educação Presencial,42,-0.423915489,3,2018
2,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,3840,Educação Presencial,98,0.012789868,3,2018
1,Privada sem fins lucrativos,3841,Educação Presencial,44,0.875398725,3,2018
22,Privada sem fins lucrativos,3842,Educação Presencial,18,0.391726338,3,2018
38,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,3844,Educação Presencial,7,2.4341862,4,2018
13,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,3856,Educação Presencial,5,0.131044093,3,2018
18,Privada sem fins lucrativos,3860,Educação Presencial,27,-0.022208545,3,2018
22,Privada sem fins lucrativos,3861,Educação Presencial,53,0.324738016,3,2018
1,Privada sem fins lucrativos,3862,Educação Presencial,15,1.273512922,4,2018
2,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,3926,Educação Presencial,229,-0.177302494,3,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,3927,Educação Presencial,115,0.154620381,3,2018
22,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,3929,Educação Presencial,76,1.070960506,3,2018
29,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,3934,Educação Presencial,10,1.749387692,3,2018
2,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,3940,Educação Presencial,42,1.21372237,4,2018
22,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,3941,Educação Presencial,33,0.794538441,3,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,3942,Educação Presencial,46,0.661563361,3,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,3946,Educação Presencial,32,1.689176408,4,2018
22,Privada sem fins lucrativos,4028,Educação Presencial,12,-1.747651629,2,2018
1,Pessoa Jurídica de Direito Público - Municipal,4072,Educação Presencial,19,0.433297961,3,2018
22,Pessoa Jurídica de Direito Público - Municipal,4073,Educação Presencial,7,7.057006833,5,2018
2,Pessoa Jurídica de Direito Público - Municipal,4075,Educação Presencial,140,-0.011582587,3,2018
22,Pessoa Jurídica de Direito Público - Estadual,4086,Educação Presencial,136,-0.012012048,3,2018
1,Pessoa Jurídica de Direito Público - Estadual,4102,Educação Presencial,95,0.143523639,3,2018
22,Privada sem fins lucrativos,4146,Educação Presencial,22,0.054852794,3,2018
2,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,4148,Educação Presencial,108,-0.359342361,3,2018
22,Privada sem fins lucrativos,4161,Educação Presencial,27,2.165171414,4,2018
2,Privada sem fins lucrativos,4163,Educação Presencial,43,0.218421405,3,2018
1,Pessoa Jurídica de Direito Público - Federal,4190,Educação Presencial,76,0.353436276,3,2018
13,Pessoa Jurídica de Direito Público - Federal,4191,Educação Presencial,69,-0.332531523,3,2018
18,Pessoa Jurídica de Direito Público - Federal,4197,Educação Presencial,83,0.136190544,3,2018
22,Privada com fins lucrativos,4225,Educação Presencial,8,1.157538785,4,2018
1,Privada com fins lucrativos,4226,Educação Presencial,26,-0.926959914,3,2018
2,Privada sem fins lucrativos,4238,Educação Presencial,96,0.323935194,3,2018
22,Privada sem fins lucrativos,4272,Educação Presencial,12,2.44775974,4,2018
1,Privada sem fins lucrativos,4273,Educação Presencial,17,-0.071692161,3,2018
13,Privada sem fins lucrativos,4274,Educação Presencial,5,0.835794918,3,2018
38,Privada sem fins lucrativos,4278,Educação Presencial,19,0.120521635,3,2018
2,Privada sem fins lucrativos,4280,Educação Presencial,176,0.075559859,3,2018
1,Privada sem fins lucrativos,4296,Educação Presencial,36,0.236829659,3,2018
22,Privada sem fins lucrativos,4297,Educação Presencial,16,5.398198457,5,2018
2,Privada sem fins lucrativos,4302,Educação Presencial,204,0.407550469,3,2018
38,Privada sem fins lucrativos,4304,Educação Presencial,10,1.057159631,4,2018
1,Privada sem fins lucrativos,4310,Educação Presencial,53,0.164796795,3,2018
