area,ca,curso,modalidade,N,fracN,idd,iddc,idd_faixa,ano
28,Privada com fins lucrativos,45877,Educação Presencial,17,0.85,1.1832,3.2835,4,2019
6208,Privada sem fins lucrativos,1193546,Educação Presencial,7,0.5,0.0782,2.5135,3,2019
5710,Privada sem fins lucrativos,1108254,Educação Presencial,35,0.833333333,0.5448,2.9682,4,2019
5,Privada sem fins lucrativos,73753,Educação Presencial,34,0.666666667,0.458,3.015,4,2019
19,Privada sem fins lucrativos,73755,Educação Presencial,46,0.821428571,-0.2168,2.3584,3,2019
6,Privada sem fins lucrativos,17955,Educação Presencial,11,0.578947368,0.5612,3.0712,4,2019
17,Privada sem fins lucrativos,106830,Educação Presencial,44,0.862745098,0.0553,2.7988,3,2019
28,Privada sem fins lucrativos,108725,Educação Presencial,18,0.782608696,-0.4101,2.2012,3,2019
55,Privada sem fins lucrativos,94221,Educação Presencial,28,0.823529412,0.1531,2.4758,3,2019
36,Privada sem fins lucrativos,94223,Educação Presencial,28,0.933333333,-0.2036,2.4549,3,2019
12,Privada sem fins lucrativos,72675,Educação Presencial,20,0.869565217,-1.1129,2.0221,3,2019
21,Privada sem fins lucrativos,117543,Educação Presencial,34,0.790697674,0.5612,2.7306,3,2019
27,Privada sem fins lucrativos,118868,Educação Presencial,25,0.78125,0.818,2.8544,3,2019
51,Privada sem fins lucrativos,109258,Educação Presencial,13,0.866666667,-3.8593,0.2508,1,2019
91,Privada sem fins lucrativos,110636,Educação Presencial,5,0.833333333,-0.8218,2.58,3,2019
23,Privada sem fins lucrativos,73751,Educação Presencial,27,0.771428571,-0.1502,2.4313,3,2019
6208,Privada com fins lucrativos,1260525,Educação Presencial,17,0.894736842,-1.0472,2.0579,3,2019
3501,Privada com fins lucrativos,59662,Educação Presencial,13,0.8125,1.9866,3.4985,4,2019
5710,Privada sem fins lucrativos,68951,Educação Presencial,76,0.88372093,0.5679,2.9824,4,2019
6405,Privada sem fins lucrativos,49069,Educação Presencial,20,0.625,-0.4147,1.8356,2,2019
36,Privada com fins lucrativos,117474,Educação Presencial,25,0.925925926,0.3445,2.7768,3,2019
23,Privada com fins lucrativos,118774,Educação Presencial,47,0.661971831,-0.4317,2.2721,3,2019
21,Privada com fins lucrativos,88416,Educação Presencial,86,0.803738318,-0.0427,2.3151,3,2019
23,Pública Federal,15998,Educação Presencial,0,0.0,,,SC,2019
12,Pública Federal,51699,Educação Presencial,40,0.975609756,-0.0301,3.2224,4,2019
5806,Pública Federal,100292,Educação Presencial,30,0.857142857,-0.6997,2.2744,3,2019
5710,Privada com fins lucrativos,1257911,Educação Presencial,35,0.813953488,0.0062,2.6383,3,2019
5806,Privada com fins lucrativos,1261514,Educação Presencial,22,0.611111111,-0.6208,2.3031,3,2019
95,Privada com fins lucrativos,1280427,Educação Presencial,13,0.8125,0.014,2.4673,3,2019
3501,Privada com fins lucrativos,1193270,Educação Presencial,6,0.5,1.7,3.3651,4,2019
69,Privada com fins lucrativos,1260758,Educação Presencial,3,0.6,-0.1844,2.372,3,2019
27,Privada com fins lucrativos,50992,Educação Presencial,5,1.0,0.3662,2.6521,3,2019
55,Privada com fins lucrativos,52743,Educação Presencial,14,0.875,0.9679,3.0707,4,2019
36,Privada com fins lucrativos,54924,Educação Presencial,13,1.0,1.4588,3.4313,4,2019
12,Privada com fins lucrativos,85652,Educação Presencial,79,0.868131868,0.1717,3.4461,4,2019
6,Privada com fins lucrativos,57926,Educação Presencial,31,0.837837838,0.4277,2.9197,3,2019
95,Privada com fins lucrativos,1369371,Educação Presencial,19,0.791666667,0.2829,2.5991,3,2019
21,Privada com fins lucrativos,1204836,Educação Presencial,9,0.9,-2.7273,0.4679,1,2019
23,Privada com fins lucrativos,352123,Educação Presencial,36,0.9,-0.3777,2.3026,3,2019
23,Privada com fins lucrativos,104306,Educação Presencial,57,0.876923077,-0.2194,2.3922,3,2019
6002,Pública Federal,116776,Educação Presencial,3,1.0,3.0849,3.9678,5,2019
23,Privada sem fins lucrativos,5000264,Educação Presencial,11,0.611111111,-0.5171,2.2238,3,2019
19,Privada sem fins lucrativos,5000263,Educação Presencial,19,0.95,-0.3339,2.2941,3,2019
19,Privada com fins lucrativos,104308,Educação Presencial,50,0.862068966,-1.099,1.8744,2,2019
36,Privada com fins lucrativos,104312,Educação Presencial,27,0.964285714,-0.6455,2.1954,3,2019
5,Privada com fins lucrativos,75368,Educação Presencial,34,0.944444444,-0.5592,1.7961,2,2019
6307,Pública Federal,100719,Educação Presencial,16,1.0,0.8899,2.7438,3,2019
19,Privada sem fins lucrativos,1257965,Educação Presencial,25,0.735294118,-1.5525,1.6255,2,2019
21,Privada sem fins lucrativos,1258352,Educação Presencial,17,0.85,-1.2842,1.4609,2,2019
23,Privada sem fins lucrativos,1178713,Educação Presencial,50,0.806451613,-0.7068,2.1165,3,2019
5710,Privada sem fins lucrativos,1257964,Educação Presencial,52,0.732394366,0.8851,3.1766,4,2019
36,Privada com fins lucrativos,63991,Educação Presencial,5,0.454545455,-4.3833,0.0,1,2019
17,Privada com fins lucrativos,9413,Educação Presencial,31,0.911764706,-0.4176,2.4237,3,2019
23,Privada com fins lucrativos,72115,Educação Presencial,16,0.888888889,-0.4173,2.2803,3,2019
21,Privada com fins lucrativos,118388,Educação Presencial,34,0.772727273,-1.4504,1.3465,2,2019
19,Privada com fins lucrativos,118390,Educação Presencial,21,0.954545455,0.4501,2.7243,3,2019
55,Privada com fins lucrativos,118392,Educação Presencial,20,0.869565217,0.3782,2.6402,3,2019
5710,Privada sem fins lucrativos,1204491,Educação Presencial,21,0.777777778,-0.4113,2.3826,3,2019
6307,Privada sem fins lucrativos,1204603,Educação Presencial,10,0.833333333,1.0429,2.7995,3,2019
51,Pública Federal,1321567,Educação Presencial,14,1.0,1.0352,3.4068,4,2019
6,Privada com fins lucrativos,100878,Educação Presencial,58,0.865671642,-0.1244,2.2929,3,2019
55,Privada com fins lucrativos,1121144,Educação Presencial,19,0.863636364,-0.7486,1.8175,2,2019
19,Privada com fins lucrativos,1121146,Educação Presencial,28,0.823529412,-0.9437,1.9596,3,2019
23,Privada com fins lucrativos,1121143,Educação Presencial,10,0.625,-1.4578,1.6917,2,2019
5710,Privada sem fins lucrativos,1105315,Educação Presencial,51,0.927272727,0.2103,2.7633,3,2019
21,Privada sem fins lucrativos,1182873,Educação Presencial,26,0.787878788,-0.2064,2.2025,3,2019
6307,Privada sem fins lucrativos,1032526,Educação Presencial,12,1.0,0.9815,2.7771,3,2019
6208,Privada sem fins lucrativos,1032532,Educação Presencial,9,0.75,0.422,2.6527,3,2019
55,Privada sem fins lucrativos,1044438,Educação Presencial,6,1.0,5.1714,5.0,5,2019
28,Privada sem fins lucrativos,1105314,Educação Presencial,16,0.761904762,-0.009,2.4736,3,2019
6208,Pública Federal,1106843,Educação Presencial,11,1.0,5.0143,4.512,5,2019
36,Privada com fins lucrativos,79756,Educação Presencial,17,0.80952381,0.709,2.9909,4,2019
23,Privada com fins lucrativos,51270,Educação Presencial,34,0.971428571,-0.0273,2.5008,3,2019
3501,Privada com fins lucrativos,54418,Educação Presencial,21,0.807692308,1.5281,3.285,4,2019
5,Privada com fins lucrativos,98350,Educação Presencial,68,0.839506173,0.1684,2.668,3,2019
12,Privada com fins lucrativos,98409,Educação Presencial,38,0.844444444,-3.8642,0.0,1,2019
19,Privada com fins lucrativos,119996,Educação Presencial,31,0.794871795,0.2532,2.6163,3,2019
21,Privada com fins lucrativos,1180192,Educação Presencial,51,0.894736842,-1.6448,1.2127,2,2019
19,Privada com fins lucrativos,1074022,Educação Presencial,63,0.875,-0.1762,2.3807,3,2019
17,Pública Federal,58075,Educação Presencial,19,0.95,1.2851,3.7745,4,2019
6405,Pública Federal,116734,Educação Presencial,13,0.928571429,0.4721,2.4704,3,2019
5,Pública Federal,150273,Educação Presencial,21,1.0,-0.3716,2.0209,3,2019
36,Privada com fins lucrativos,1074957,Educação Presencial,35,0.945945946,-0.2135,2.4491,3,2019
55,Privada com fins lucrativos,1077884,Educação Presencial,21,0.875,-1.1518,1.5231,2,2019
23,Privada com fins lucrativos,1085806,Educação Presencial,42,0.954545455,-1.1708,1.8541,2,2019
23,Privada com fins lucrativos,1117490,Educação Presencial,20,0.666666667,-2.5571,1.0699,2,2019
19,Privada sem fins lucrativos,1159840,Educação Presencial,10,0.588235294,1.2253,3.1496,4,2019
23,Privada sem fins lucrativos,1159841,Educação Presencial,11,0.733333333,1.8476,3.5613,4,2019
3501,Privada sem fins lucrativos,1192396,Educação Presencial,11,0.846153846,0.9724,3.0263,4,2019
55,Privada sem fins lucrativos,1013900,Educação Presencial,7,0.7,-0.9434,1.6753,2,2019
92,Pública Federal,90763,Educação Presencial,8,0.444444444,3.1633,4.1739,5,2019
17,Pública Federal,1138922,Educação Presencial,46,0.901960784,0.1722,2.8915,3,2019
17,Pública Federal,113809,Educação Presencial,47,0.903846154,-0.545,2.3226,3,2019
6405,Pública Federal,99839,Educação Presencial,22,0.628571429,-0.619,1.6893,2,2019
23,Pública Federal,99843,Educação Presencial,32,0.96969697,-0.0485,2.4889,3,2019
51,Pública Federal,1265002,Educação Presencial,21,1.0,-1.3838,1.847,2,2019
3501,Privada com fins lucrativos,1304121,Educação Presencial,21,0.84,-0.1141,2.5204,3,2019
36,Privada com fins lucrativos,98059,Educação Presencial,57,0.95,0.0058,2.5779,3,2019
23,Privada com fins lucrativos,98738,Educação Presencial,121,0.991803279,-0.2496,2.3751,3,2019
6,Privada com fins lucrativos,99824,Educação Presencial,94,0.854545455,-0.0641,2.3613,3,2019
27,Privada com fins lucrativos,1330940,Educação Presencial,33,0.891891892,-1.2079,1.947,3,2019
3501,Privada com fins lucrativos,1332472,Educação Presencial,20,0.8,-1.8754,1.7003,2,2019
69,Privada com fins lucrativos,1192781,Educação Presencial,37,0.973684211,-1.0271,2.0541,3,2019
55,Privada com fins lucrativos,1193613,Educação Presencial,59,0.907692308,-0.1879,2.2268,3,2019
21,Privada com fins lucrativos,97245,Educação Presencial,64,0.842105263,-1.3125,1.4414,2,2019
21,Privada com fins lucrativos,88559,Educação Presencial,38,0.974358974,-0.1121,2.2673,3,2019
5806,Privada com fins lucrativos,1116501,Educação Presencial,20,0.869565217,0.0976,2.5644,3,2019
5710,Privada com fins lucrativos,1172547,Educação Presencial,50,0.961538462,-0.2267,2.4957,3,2019
6405,Pública Federal,21846,Educação Presencial,46,0.851851852,0.0048,2.1359,3,2019
17,Pública Federal,11528,Educação Presencial,32,0.653061224,-0.4021,2.436,3,2019
23,Pública Federal,11533,Educação Presencial,23,0.958333333,-2.2715,1.2315,2,2019
3501,Pública Federal,11542,Educação Presencial,1,0.25,,,SC,2019
5710,Pública Federal,11553,Educação Presencial,40,0.816326531,0.3329,2.8384,3,2019
5,Pública Federal,118697,Educação Presencial,27,0.9,-0.3431,2.0551,3,2019
28,Pública Federal,119894,Educação Presencial,18,0.947368421,-0.2007,2.3435,3,2019
5806,Pública Federal,123320,Educação Presencial,17,0.944444444,0.0093,2.5323,3,2019
12,Pública Federal,53338,Educação Presencial,71,0.97260274,-5.0939,0.0,1,2019
36,Privada com fins lucrativos,1077647,Educação Presencial,38,0.88372093,-0.554,2.2491,3,2019
19,Privada com fins lucrativos,1077696,Educação Presencial,55,0.820895522,-0.7148,2.0852,3,2019
55,Privada com fins lucrativos,1078534,Educação Presencial,50,0.943396226,-0.4634,2.0257,3,2019
23,Privada com fins lucrativos,1099815,Educação Presencial,60,0.857142857,-0.5491,2.2057,3,2019
28,Privada com fins lucrativos,1257921,Educação Presencial,55,0.901639344,-0.8124,1.9279,2,2019
92,Pública Federal,150339,Educação Presencial,62,1.0,-0.7904,2.6284,3,2019
23,Pública Federal,101653,Educação Presencial,3,0.75,2.4737,3.9155,4,2019
28,Pública Federal,101645,Educação Presencial,13,0.8125,-0.7828,1.948,3,2019
36,Pública Federal,101651,Educação Presencial,17,0.772727273,0.2936,2.7469,3,2019
3501,Privada com fins lucrativos,1258832,Educação Presencial,8,0.470588235,1.4781,3.2618,4,2019
6,Privada sem fins lucrativos,45976,Educação Presencial,15,0.375,-2.0788,0.0741,1,2019
95,Privada com fins lucrativos,119261,Educação Presencial,7,0.466666667,-0.237,2.3443,3,2019
6,Privada com fins lucrativos,46278,Educação Presencial,44,0.656716418,-0.5387,1.8226,2,2019
23,Privada com fins lucrativos,104252,Educação Presencial,191,0.712686567,0.2159,2.6384,3,2019
55,Privada com fins lucrativos,104272,Educação Presencial,66,0.76744186,-0.3303,2.1228,3,2019
69,Privada com fins lucrativos,104276,Educação Presencial,8,0.470588235,-3.1816,1.2413,2,2019
5710,Privada com fins lucrativos,1204664,Educação Presencial,21,0.6,-0.5619,2.2905,3,2019
6208,Privada com fins lucrativos,1204665,Educação Presencial,0,0.0,,,SC,2019
3501,Privada com fins lucrativos,1204666,Educação Presencial,47,0.534090909,-1.22,2.0055,3,2019
19,Privada com fins lucrativos,1075756,Educação Presencial,26,0.684210526,0.5855,2.7986,3,2019
6410,Privada com fins lucrativos,1056450,Educação Presencial,0,0.0,,,SC,2019
28,Privada com fins lucrativos,104250,Educação Presencial,56,0.615384615,-0.7173,1.9925,3,2019
3501,Pública Federal,104364,Educação Presencial,13,0.764705882,0.1739,2.6545,3,2019
3501,Pública Federal,104366,Educação Presencial,17,0.80952381,1.1206,3.0953,4,2019
4003,Pública Federal,84288,Educação Presencial,36,0.857142857,0.4876,2.5823,3,2019
6208,Pública Federal,84526,Educação Presencial,48,0.905660377,-0.4829,2.2863,3,2019
5710,Pública Federal,383,Educação Presencial,43,0.934782609,-0.3973,2.3912,3,2019
6405,Pública Federal,385,Educação Presencial,20,1.0,1.0773,2.9036,3,2019
12,Pública Federal,389,Educação Presencial,106,0.954954955,-0.3838,2.8303,3,2019
19,Pública Federal,390,Educação Presencial,21,0.875,0.3274,2.657,3,2019
6,Pública Federal,391,Educação Presencial,19,0.95,2.6104,5.0,5,2019
17,Pública Federal,399,Educação Presencial,23,0.884615385,0.6702,3.2866,4,2019
23,Pública Federal,2133,Educação Presencial,40,0.952380952,0.7889,2.9625,4,2019
51,Pública Federal,65424,Educação Presencial,19,1.0,0.1729,2.8508,3,2019
6002,Pública Federal,1167036,Educação Presencial,8,0.888888889,0.4234,2.738,3,2019
5806,Pública Federal,118408,Educação Presencial,13,0.866666667,0.7191,2.7905,3,2019
5806,Pública Federal,118410,Educação Presencial,21,0.84,1.5113,3.0788,4,2019
5806,Pública Federal,118412,Educação Presencial,11,1.0,4.3794,4.1223,5,2019
5902,Pública Federal,122628,Educação Presencial,38,0.974358974,0.8111,2.5763,3,2019
21,Pública Federal,122640,Educação Presencial,54,0.915254237,0.2538,2.5191,3,2019
6008,Pública Federal,122644,Educação Presencial,45,0.97826087,-0.2187,2.2716,3,2019
36,Pública Federal,112290,Educação Presencial,24,0.857142857,0.9136,3.1111,4,2019
23,Privada com fins lucrativos,1200671,Educação Presencial,30,0.731707317,-0.872,2.0231,3,2019
3501,Privada com fins lucrativos,1203181,Educação Presencial,8,1.0,-0.472,2.3538,3,2019
5,Privada com fins lucrativos,43974,Educação Presencial,12,0.666666667,-0.7857,1.5247,2,2019
5,Pública Federal,1295064,Educação Presencial,24,1.0,0.0832,2.5659,3,2019
5710,Pública Federal,1295066,Educação Presencial,20,0.952380952,-0.4546,2.3562,3,2019
5814,Pública Federal,1134815,Educação Presencial,36,0.818181818,-0.1975,2.6293,3,2019
5902,Pública Federal,5000491,Educação Presencial,28,0.848484848,-0.2885,2.0419,3,2019
23,Privada com fins lucrativos,51218,Educação Presencial,15,0.555555556,0.5415,2.8226,3,2019
6008,Privada sem fins lucrativos,53482,Educação Presencial,23,0.821428571,-0.9701,1.9095,2,2019
21,Privada sem fins lucrativos,9430,Educação Presencial,9,0.75,0.3482,2.5841,3,2019
5710,Privada sem fins lucrativos,9433,Educação Presencial,16,0.666666667,0.5104,2.9472,4,2019
6307,Privada sem fins lucrativos,9434,Educação Presencial,7,1.0,-2.6623,1.4505,2,2019
5806,Privada sem fins lucrativos,114348,Educação Presencial,20,0.666666667,-0.8233,2.2294,3,2019
5902,Privada sem fins lucrativos,110772,Educação Presencial,15,0.555555556,-0.4615,1.9578,3,2019
23,Privada sem fins lucrativos,101949,Educação Presencial,16,1.0,2.2548,3.7917,4,2019
92,Privada sem fins lucrativos,1161125,Educação Presencial,6,0.545454545,1.987,3.7141,4,2019
28,Privada com fins lucrativos,75109,Educação Presencial,33,0.66,-0.2022,2.3424,3,2019
5710,Privada com fins lucrativos,107004,Educação Presencial,235,0.807560137,0.0426,2.6607,3,2019
6208,Privada com fins lucrativos,107008,Educação Presencial,46,0.707692308,-0.5181,2.2721,3,2019
6307,Privada com fins lucrativos,107098,Educação Presencial,29,0.783783784,-0.3974,2.2751,3,2019
21,Privada com fins lucrativos,20679,Educação Presencial,97,0.801652893,-0.6318,1.9097,2,2019
6,Privada com fins lucrativos,95047,Educação Presencial,141,0.770491803,-0.1407,2.2744,3,2019
36,Privada com fins lucrativos,73250,Educação Presencial,92,0.741935484,-0.0891,2.5221,3,2019
23,Privada com fins lucrativos,73259,Educação Presencial,252,0.8,-0.0636,2.4803,3,2019
27,Privada com fins lucrativos,73262,Educação Presencial,35,0.760869565,-0.5324,2.2496,3,2019
3501,Privada com fins lucrativos,1364159,Educação Presencial,5,0.357142857,-0.7297,2.2338,3,2019
5806,Privada com fins lucrativos,115045,Educação Presencial,86,0.693548387,-0.0907,2.4959,3,2019
5902,Privada com fins lucrativos,116028,Educação Presencial,161,0.774038462,-0.3479,2.013,3,2019
4003,Privada com fins lucrativos,1264733,Educação Presencial,40,0.833333333,-0.0605,2.3544,3,2019
5814,Privada com fins lucrativos,1264736,Educação Presencial,31,0.720930233,-0.6492,2.4453,3,2019
55,Privada com fins lucrativos,1264737,Educação Presencial,66,0.891891892,-0.3056,2.1409,3,2019
5,Privada com fins lucrativos,1264739,Educação Presencial,92,0.828828829,-0.3913,1.9972,3,2019
19,Privada com fins lucrativos,75106,Educação Presencial,80,0.672268908,-0.2367,2.3475,3,2019
36,Privada sem fins lucrativos,47708,Educação Presencial,28,0.903225806,-0.7982,2.1056,3,2019
27,Privada sem fins lucrativos,47712,Educação Presencial,38,0.655172414,-0.893,2.088,3,2019
5,Privada sem fins lucrativos,47714,Educação Presencial,68,0.686868687,-0.9046,1.3821,2,2019
